# layer center[mm] area[cm2] mipsig sipm_noise S/N power[mW] fluence dose[kRad] inner outer
 3   1474 10.34  20.3   2.9  6.98  1.41 1.17e+13  42.6 1490 1457
 3   1506 10.80  20.3   2.8  7.30  1.28 1.06e+13  39.0 1523 1490
 3   1539 11.28  20.2   2.7  7.63  1.17 9.66e+12  35.8 1556 1523
 3   1573 11.78  20.2   2.5  7.97  1.06 8.80e+12  33.0 1590 1556
 3   1608 12.31  20.0   2.4  8.30  0.97 8.03e+12  30.4 1625 1590
 3   1643 12.86  19.9   2.3  8.63  0.88 7.33e+12  28.1 1661 1625
 3   1680 13.43  19.8   2.2  8.96  0.81 6.69e+12  26.1 1698 1661
 3   1717 14.03  19.6   2.1  9.29  0.74 6.12e+12  24.3 1735 1698
 3   1755 14.66  19.4   2.0  9.62  0.68 5.61e+12  22.7 1774 1735
 3   1793 15.31  19.2   1.9  9.94  0.62 5.15e+12  21.3 1813 1774
 3   1833 15.99  19.0   1.9 10.24  0.57 4.73e+12  20.1 1853 1813
 3   1873 16.71  18.8   1.8 10.54  0.53 4.36e+12  19.0 1894 1853
 3   1915 17.45  18.5   1.7 10.82  0.49 4.02e+12  18.0 1935 1894
 3   1957 18.23  18.2   1.6 11.08  0.45 3.72e+12  17.2 1978 1935
 3   2000 19.04  18.0   1.6 11.33  0.42 3.46e+12  16.6 2022 1978
 3   2044 19.89  17.7   1.5 11.55  0.39 3.22e+12  16.0 2066 2022
 3   2089 20.78  17.3   1.5 11.74  0.36 3.00e+12  15.6 2112 2066
 3   2135 21.71  17.0   1.4 11.90  0.34 2.81e+12  15.3 2159 2112
 3   2182 22.68  16.7   1.4 12.03  0.32 2.65e+12  15.2 2206 2159
 3   2231 23.69  16.3   1.3 12.11  0.30 2.50e+12  15.1 2255 2206
 3   2280 24.74  16.0   1.3 12.16  0.29 2.37e+12  15.2 2305 2255
 3   2330 25.85  15.6   1.3 12.16  0.27 2.26e+12  15.4 2355 2305
 3   2381 27.00  15.2   1.3 12.11  0.26 2.16e+12  15.8 2407 2355
 4    912  3.96  35.5  10.1  3.52 16.88 6.99e+13 269.3  922  902
 4    932  4.14  36.2   9.6  3.76 15.42 6.39e+13 243.0  942  922
 4    952  4.32  37.0   9.2  4.02 14.08 5.83e+13 219.2  963  942
 4    973  4.51  37.8   8.8  4.29 12.85 5.32e+13 197.6  984  963
 4    995  4.71  38.5   8.4  4.58 11.71 4.85e+13 178.1 1006  984
 4   1017  4.92  19.6   5.7  3.46  5.34 4.42e+13 160.5 1028 1006
 4   1039  5.14  19.9   5.4  3.69  4.86 4.03e+13 144.6 1051 1028
 4   1062  5.37  20.3   5.2  3.93  4.42 3.66e+13 130.2 1074 1051
 4   1086  5.61  20.6   4.9  4.18  4.02 3.33e+13 117.3 1098 1074
 4   1110  5.86  20.9   4.7  4.45  3.65 3.03e+13 105.6 1122 1098
 4   1134  6.12  21.1   4.5  4.72  3.32 2.75e+13  95.2 1147 1122
 4   1159  6.40  21.4   4.3  5.01  3.02 2.50e+13  85.7 1172 1147
 4   1185  6.68  21.6   4.1  5.31  2.74 2.27e+13  77.3 1198 1172
 4   1211  6.98  21.8   3.9  5.62  2.48 2.06e+13  69.7 1224 1198
 4   1238  7.29  21.9   3.7  5.94  2.26 1.87e+13  62.9 1251 1224
 4   1265  7.62  22.0   3.5  6.27  2.05 1.70e+13  56.9 1279 1251
 4   1293  7.96  22.1   3.3  6.61  1.86 1.54e+13  51.4 1307 1279
 4   1321  8.31  22.2   3.2  6.96  1.69 1.40e+13  46.6 1336 1307
 4   1350  8.68  22.2   3.0  7.32  1.53 1.27e+13  42.2 1365 1336
 4   1380  9.07  22.2   2.9  7.68  1.39 1.15e+13  38.3 1395 1365
 4   1411  9.47  22.2   2.8  8.05  1.26 1.05e+13  34.8 1426 1395
 4   1442  9.90  22.2   2.6  8.43  1.15 9.51e+12  31.8 1457 1426
 4   1474 10.34  22.1   2.5  8.81  1.04 8.65e+12  29.0 1490 1457
